,Symbol,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,TrailingPE,Beta,fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,ebit,netIncome,totalAssets,totalLiabilities,currentDebt,totalShareholderEquity,operatingCashflow,capitalExpenditures,profitLoss,dividendPayout
94,COR,38515761000,3418519000,23.39,1.577,3.394,1.915,0.0104,8.2,8334565000,8.2,0.224,0.115,23.39,0.542,2023-09-30,8959493000,262173411000,253213918000,2340731000,6418116000,2340731000,1745293000,62558746000,62036743000,641344000,522003000,3911334000,458359000,1732576000,398752000
95,CNC,41331651000,6301000000,15.62,0.746,48.35,None,None,4.95,24470000000,4.95,-0.316,0.058,15.62,0.365,2022-12-31,122055000000,144547000000,22492000000,1318000000,14909000000,2627000000,1202000000,76870000000,52633000000,82000000,24057000000,6261000000,1004000000,1202000000,None
96,CNP,17377597000,2930000000,21.85,2.042,15.19,0.75,0.0291,1.26,3570000000,1.26,0.333,-0.023,21.85,0.936,2022-12-31,8362000000,9321000000,959000000,1566000000,471000000,1566000000,1057000000,38546000000,28504000000,2020000000,10042000000,1810000000,4419000000,1057000000,489000000
97,CF,14917652000,3881000000,7.26,0.644,29.95,1.6,0.0256,10.76,5861000000,10.76,-0.61,-0.452,7.26,1.012,2022-12-31,5861000000,11186000000,5325000000,5397000000,850000000,5397000000,3346000000,13313000000,8262000000,None,5051000000,3855000000,453000000,3937000000,925000000
98,CHRW,8710330000,579972000,27.45,2.706,11.96,2.44,0.0327,2.72,1891731000,2.72,-0.677,-0.167,27.45,0.764,2022-12-31,22150077000,24696625000,2546548000,1266782000,820126000,1266782000,940524000,5954564000,4601142000,1053655000,1353422000,1650171000,128497000,940524000,285317000
99,CRL,11399175000,972454000,24.1,1.842,64.45,None,None,9.22,1462651000,9.22,-0.101,0.038,24.1,1.379,2022-12-31,3270862000,4098086000,827224000,650975000,646101000,675896000,486226000,7602770000,4579265000,3677000,2976293000,619640000,324733000,492608000,None
100,SCHW,113856250000,None,24.95,1.468,15.7,1,0.0158,2.54,20174000000,2.54,-0.477,-0.196,24.95,0.989,2022-12-31,9388000000,20762000000,11374000000,4808000000,3866000000,10933000000,7183000000,551772000000,515164000000,17050000000,36608000000,2057000000,952000000,7183000000,2110000000
101,CHTR,42282254000,20985999000,9.71,0.284,76.34,None,None,30,24485000000,30,-0.079,0.003,9.71,1.026,2023-12-31,48946000000,54607000000,5661000000,12559000000,33405000000,12559000000,4557000000,147193000000,136107000000,2000000000,11086000000,14433000000,11115000000,5261000000,158000000
102,CVX,285165027000,42221998000,13.3,2.575,87.55,6.04,0.0408,11.36,98886000000,11.36,-0.633,-0.156,13.3,1.125,2022-12-31,94159000000,246252000000,152093000000,65133000000,28476000000,50161000000,35465000000,257709000000,97467000000,6014000000,159282000000,49602000000,11974000000,35608000000,11082000000
103,CMG,72346722000,1915577000,59.53,2.301,111.65,None,None,44.32,3374024000,44.32,0.273,0.154,59.53,1.288,2023-12-31,3564028000,9871649000,6307621000,1557813000,2384392000,1557813000,1228737000,8044362000,4982155000,None,3062207000,1783477000,560731000,3241012000,None
104,CB,100859216000,10183333000,11.34,0.736,146.83,3.41,0.0139,21.8,10626000000,21.8,1.557,0.131,11.34,0.629,2022-12-31,-16600000000,43166000000,59766000000,-20402000000,3728000000,7138000000,5313000000,199017000000,148498000000,475000000,50519000000,11243000000,None,13136000000,1375000000
105,CHD,24623395000,1282600000,32.4,3.714,15.76,1.09,0.0115,3.05,2250000000,3.05,-0.066,0.064,32.4,0.535,2022-12-31,2250000000,5375600000,3125600000,597800000,1351800000,612900000,413900000,8345600000,4855700000,74000000,3489900000,885200000,178800000,413900000,255000000
106,CI,97968366000,11991000000,18.9,0.86,158.03,4.92,0.0167,17.72,22981000000,17.72,-0.088,0.116,18.9,0.521,2022-12-31,-24166000000,180516000000,204682000000,8414000000,13455000000,8414000000,6668000000,143885000000,99131000000,2993000000,44675000000,8656000000,1295000000,6746000000,1384000000
107,CINF,17095730000,2447333000,9.34,-158.72,77.06,3,0.0298,11.66,-533000000,11.66,0.171,0.078,9.34,0.638,2022-12-31,-4876000000,6557000000,11433000000,-4918000000,42000000,-640000000,-486000000,29732000000,19170000000,None,10562000000,2052000000,15000000,-486000000,423000000
108,CTAS,62669578000,2218695000,44.86,3.578,39.41,5,0.0087,13.78,3632246000,13.78,0.157,0.093,44.86,1.272,2023-05-31,4173368000,8706253000,2520704000,1802664000,2520704000,1804380000,1348010000,8546356000,4682370000,13595000,3863986000,1597814000,331109000,1348010000,449917000
109,CSCO,203702256000,18095000000,15.14,3.076,11.17,1.55,0.0311,3.31,35753000000,3.31,0.369,0.076,15.14,0.88,2023-07-29,35753000000,56682000000,34408000000,15031000000,20722000000,15745000000,12613000000,101852000000,57499000000,1733000000,44353000000,19886000000,849000000,12613000000,6302000000
110,C,103319044000,None,13.36,0.717,98.71,2.08,0.0389,4.04,70560000000,4.04,-0.001,-0.1,13.36,1.512,2022-12-31,19207000000,75338000000,56131000000,4809000000,14398000000,44227000000,14845000000,2417000000000,2214838000000,47096000000,201189000000,25069000000,5632000000,14934000000,5003000000
111,CFG,14692167000,None,10.06,0.263,47.87,1.68,0.0533,3.13,7547000000,3.13,-0.728,-0.108,10.06,1.376,2022-12-31,3129000000,8021000000,4892000000,829000000,1977000000,3703000000,2073000000,226733000000,203043000000,3000000,23690000000,4119000000,126000000,2073000000,892000000
112,CLX,19139736000,1114000000,243.17,2.462,0.427,4.78,0.0313,0.63,2905000000,0.63,-0.064,0.16,243.17,0.418,2023-06-30,2908000000,7286000000,6219000000,1032000000,1876000000,316000000,149000000,5945000000,5557000000,59000000,220000000,1158000000,228000000,161000000,598000000
113,CME,73830351000,3584500000,24.44,4.581,78.38,4.3,0.0419,8.39,5008800000,8.39,0.102,0.09,24.44,0.484,2022-12-31,3663300000,5019400000,1356100000,3015900000,844800000,3015900000,2691000000,174175700000,147297000000,16000000,26878700000,3056000000,89700000,2691000000,2633500000
114,CMS,16568331000,2395000000,18.63,2.181,23.86,1.923,0.0367,3.01,2762000000,3.01,0.805,-0.144,18.63,0.381,2023-12-31,6412000000,7462000000,1050000000,1235000000,2210000000,1677000000,887000000,33517000000,25973000000,980000000,7544000000,2309000000,2574000000,808000000,579000000
115,KO,258669674000,14168001000,24.11,2.806,6.09,1.82,0.0309,2.47,25004000000,2.47,0.092,0.08,24.11,0.588,2022-12-31,25004000000,43004000000,18000000000,10909000000,14181000000,12539000000,9542000000,92763000000,68658000000,2772000000,24105000000,11018000000,1484000000,9571000000,7616000000
116,CTSH,39003501000,3437000000,18.31,1.34,26.56,1.17,0.0156,4.21,7039000000,4.21,0.101,-0.017,18.31,1.078,2022-12-31,2968000000,19428000000,16460000000,2968000000,4021000000,3039000000,2290000000,17852000000,5543000000,13000000,12309000000,2568000000,332000000,2290000000,564000000
117,CL,69377376000,4489000000,30.13,1.535,0.74,1.91,0.023,2.77,10248000000,2.77,144.31,0.069,30.13,0.41,2022-12-31,10248000000,17967000000,7719000000,2893000000,7686000000,2893000000,1785000000,15731000000,14925000000,25000000,401000000,2556000000,696000000,1967000000,1691000000
118,CMCSA,166698582000,37648998000,11.34,0.686,20.79,1.16,0.0295,3.71,83214000000,3.71,0.144,0.023,11.34,1.014,2023-12-31,107098000000,121572000000,14474000000,23314000000,15249000000,24846000000,15388000000,264811000000,182108000000,2069000000,82703000000,28501000000,15540000000,15107000000,4766000000
119,CMA,6772962000,None,7.97,0.316,45.58,2.84,0.0553,6.44,3474000000,6.44,-0.923,-0.22,7.97,1.309,2022-12-31,1543000000,3601000000,2058000000,1093000000,450000000,1682000000,1151000000,85406000000,80225000000,3211000000,5181000000,638000000,82000000,1151000000,376000000
120,CAG,13431945000,2271700000,13.37,0.677,18.84,1.36,0.0511,2.05,2860600000,2.05,-0.243,-0.032,13.37,0.428,2023-05-28,-152800000,11852600000,12005400000,1464200000,3075100000,1464200000,683600000,22052600000,13245300000,2157400000,8736800000,995400000,362200000,683200000,623800000
121,COP,134185681000,24786000000,12.27,0.721,41.83,4.61,0.0222,9.06,39598000000,9.06,-0.021,-0.208,12.27,1.255,2022-12-31,43436000000,78494000000,35058000000,36311000000,6552000000,29137000000,18680000000,93829000000,45826000000,417000000,48003000000,28314000000,10159000000,18680000000,5726000000
122,ED,30745293000,4752000000,13.16,2.554,61.1,3.22,0.0373,6.77,7685000000,6.77,-0.116,-0.07,13.16,0.371,2022-12-31,10506000000,15670000000,5164000000,2624000000,13046000000,3010000000,1660000000,69065000000,48378000000,1402000000,20687000000,3935000000,4465000000,1600000000,1126000000
123,STZ,44434432000,3547100000,28.17,2.039,51.81,3.47,0.0147,8.61,4711000000,8.61,0.23,0.014,28.17,0.962,2023-02-28,4769000000,19569700000,7682400000,2842900000,2993600000,2842900000,-71000000,24662300000,15928400000,1184300000,8413600000,2756900000,1035400000,345100000,587700000
124,CEG,42212721000,4143000000,25.32,0.861,36.53,0.99,0.0086,5.22,2227000000,5.22,-0.094,0.01,25.32,0.547,2022-12-31,3726000000,24440000000,20714000000,495000000,2115000000,-298000000,-160000000,46909000000,35537000000,1302000000,11018000000,-2353000000,1689000000,-167000000,185000000
125,COO,18711484000,872200000,63.83,2.618,152.54,0.06,0.0002,5.9,2357900000,5.9,0.28,0.093,63.83,0.942,2023-10-31,2357900000,3487900000,2922700000,533100000,1824800000,518200000,294200000,11658900000,4107900000,45400000,7550800000,607500000,392500000,294200000,3000000
126,CPRT,48933417000,1728048000,37.16,3.162,6.68,None,None,1.37,1769369000,1.37,0.36,0.142,37.16,1.222,2023-07-31,1542920000,3956092000,2413172000,1486569000,280745000,1486569000,1237741000,6737879000,750439000,13000,5987440000,1364210000,516636000,1237741000,None
127,GLW,27335727000,2678000000,47.12,1.129,14.09,1.12,0.035,0.68,4843000000,0.68,-0.208,-0.121,47.12,1.09,2022-12-31,4506000000,14189000000,9683000000,1438000000,3524000000,1438000000,1316000000,29499000000,17224000000,224000000,12008000000,2615000000,1604000000,1386000000,932000000
128,CTVA,37587538000,3321000000,41.23,1.188,35.7,0.63,0.0119,1.3,7026000000,1.3,-0.246,-0.031,41.23,0.729,2023-12-31,3446000000,17226000000,13780000000,-1966000000,5412000000,-1966000000,735000000,42996000000,17959000000,198000000,25037000000,1769000000,595000000,747000000,439000000
129,CSGP,33947216000,446853000,83.97,3.366,17.67,None,None,0.99,1768391000,0.99,0.222,0.122,83.97,0.846,2022-12-31,1768391000,2133165000,1634045000,450949000,1317442000,450949000,369453000,8402470000,1532349000,None,6870121000,478620000,35169000,369453000,None
130,COST,321374814000,10869000000,49.28,5.15,58.92,3.96,0.0056,14.68,30095000000,14.68,0.166,0.062,49.28,0.759,2023-09-03,7945000000,242290000000,234345000000,8114000000,21759000000,8647000000,6292000000,68994000000,43936000000,1081000000,25058000000,11068000000,4323000000,6292000000,1251000000
131,CTRA,18428705000,4505000000,8.41,44.67,16.98,1.65,0.0329,2.89,7636000000,2.89,-0.72,-0.497,8.41,0.182,2022-12-31,8134000000,9051000000,917000000,5209000000,487000000,5279000000,4065000000,20154000000,7484000000,6000000,12659000000,5456000000,1710000000,4065000000,1992000000
132,CCI,47011889000,4242000000,31.33,9.42,14.7,6.26,0.0577,3.46,4918000000,3.46,-0.126,-0.051,31.33,0.755,2022-12-31,4962000000,6986000000,2024000000,2425000000,1432000000,2425000000,1675000000,38921000000,31472000000,819000000,7449000000,2878000000,1310000000,1675000000,2602000000
133,CSX,73255051000,7138000000,19.94,3.202,6.16,0.44,0.0119,1.85,7390000000,1.85,-0.078,-0.013,19.94,1.191,2022-12-31,9772000000,14396000000,4624000000,6023000000,8666000000,6023000000,4166000000,41912000000,29287000000,151000000,12625000000,5619000000,2133000000,4152000000,852000000
134,CMI,35702403000,2294000000,48.79,0.638,62.41,6.5,0.0267,5.16,6736000000,5.16,0.628,0.099,48.79,1.022,2022-12-31,6719000000,28074000000,21355000000,2929000000,5152000000,2929000000,2151000000,30299000000,20074000000,3357000000,8975000000,1962000000,916000000,2183000000,855000000
135,CVS,96044909000,18393000000,11.8,1.101,59.36,2.42,0.0349,6.47,53456000000,6.47,-0.105,0.12,11.8,0.49,2023-12-31,-36630000000,357776000000,394406000000,13743000000,44372000000,13807000000,8344000000,249728000000,173092000000,2972000000,76461000000,13426000000,3031000000,8368000000,3132000000
136,DHR,181746991000,7368000000,42.92,3.166,72.36,1.05,0.004,5.66,18949000000,5.66,-0.281,-0.103,42.92,0.871,2022-12-31,18949000000,31383000000,22531000000,8688000000,11783000000,8503000000,7209000000,84350000000,34268000000,591000000,50082000000,8519000000,1152000000,7209000000,818000000
137,DRI,20082483000,1706200000,20.27,2.007,17.07,5.04,0.0307,8.27,1995000000,8.27,0.159,0.097,20.27,1.26,2023-05-28,1965100000,10461500000,3894300000,1201800000,550200000,1169100000,981900000,10241500000,8040000000,13500000,2201500000,3100000000,594300000,981400000,589800000
138,DVA,10123182000,2217035000,17.06,0.438,13.13,None,None,6.44,3400341000,6.44,1.319,0.059,17.06,1.003,2022-12-31,9522095000,11609894000,2087799000,1339062000,2059794000,1339062000,560400000,16928252000,14703452000,231404000,712326000,1564570000,603429000,781643000,267946000
139,DE,108028609000,16572000000,11.01,2.03,77.37,5.05,0.0154,34.62,21117000000,34.62,0.112,-0.009,11.01,1.061,2023-10-29,56076000000,61251000000,5175000000,12958000000,8261000000,15490000000,10166000000,104087000000,82201000000,17939000000,21785000000,8589000000,4468000000,10155000000,1427000000
140,DAL,26066684000,9831999000,5.65,23.16,17.18,0,0.0099,7.17,9680000000,7.17,1.432,0.059,5.65,1.423,2022-12-31,21063000000,49453000000,28390000000,3661000000,7778000000,3661000000,1318000000,72288000000,65706000000,3459000000,6582000000,6363000000,6366000000,1318000000,0
141,XRAY,7025291000,627000000,None,2.047,15.94,0.545,0.0171,-1.01,2127000000,-1.01,0.178,0,-,1.019,2022-12-31,2127000000,3908000000,4945000000,-1197000000,3327000000,-1197000000,-950000000,7643000000,3831000000,118000000,3811000000,517000000,144000000,-950000000,104000000
142,DVN,27172078000,7523000000,7.09,0.395,18.16,3.45,0.069,5.87,11329000000,5.87,-0.507,-0.259,7.09,2.221,2022-12-31,18741000000,19169000000,428000000,18337000000,413000000,8134000000,6015000000,23721000000,12554000000,510000000,11167000000,16642000000,2542000000,6037000000,3379000000
143,DXCM,48979730000,767200000,92.67,2.464,5.37,None,None,1.3,1883100000,1.3,1.81,0.269,92.67,1.198,2023-12-31,2288900000,3603200000,2533400000,597700000,1691200000,730700000,541500000,6264500000,4195900000,4700000,2068600000,748500000,236600000,541500000,1230600000
144,FANG,27470555000,6069000000,8.61,1.201,91.04,7.99,0.0527,17.63,8173000000,17.63,-0.246,-0.083,8.61,1.884,2022-12-31,9485000000,9643000000,158000000,6508000000,270000000,5719000000,4386000000,26209000000,10519000000,10000000,15009000000,6325000000,3505000000,4562000000,1572000000
145,DLR,45490246000,2359310000,51.11,3.421,57.65,4.88,0.0332,2.88,2660775000,2.88,2.097,0.172,51.11,0.557,2022-12-31,2688734000,4691834000,2003100000,589968000,4101866000,708366000,377684000,41484998000,21862854000,None,17583334000,1659388000,2643097000,380325000,1450637000
146,DFS,27301333000,None,9.7,24.95,59.31,2.7,0.0256,11.26,10465000000,11.26,-0.592,0.079,9.7,1.429,2022-12-31,3566000000,11161000000,7595000000,452000000,3114000000,7607000000,4392000000,131706000000,117362000000,None,14344000000,7140000000,236000000,4392000000,703000000
147,DG,29774866000,3620100000,15.56,7.02,29.39,2.32,0.0175,8.69,11820098000,8.69,-0.46,0.024,15.56,0.392,2023-02-03,11820098000,37844863000,26024765000,3328302000,8491796000,3327887000,2415989000,29083367000,23541595000,None,5541772000,1984555000,1560582000,2415989000,493726000
148,DLTR,30700323000,2508500000,26.47,2.473,41.3,None,None,5.27,8935400000,5.27,-0.193,0.054,26.47,0.899,2023-01-28,8921900000,28331700000,19409800000,2236300000,223900000,2236300000,1615400000,23022100000,14270600000,0,8751500000,1614800000,1248800000,1615400000,None
149,D,37404828000,8435000000,14.85,2.311,31.36,2.67,0.0597,3.01,7923000000,3.01,-0.816,-0.039,14.85,0.606,2022-12-31,11105000000,17174000000,6069000000,1596000000,6042000000,1596000000,994000000,104243000000,76362000000,6760000000,27881000000,3700000000,7591000000,994000000,2209000000
150,DPZ,14879511000,866309000,29.08,2.49,-112.88,4.73,0.0114,14.62,1163276000,14.62,0.301,0.031,29.08,0.838,2021-12-31,1648606000,4537158000,2888552000,767925000,880681000,771087000,452263000,1602221000,5791286000,54813000,-4189065000,654206000,94172000,510467000,139399000
151,DOV,22456541000,1683806000,21.38,1.183,36.5,2.03,0.0127,7.51,3070411000,7.51,0.128,-0.016,21.38,1.259,2023-12-31,3084633000,8306829000,7282342000,1366343000,2084833000,1401311000,1056828000,11348513000,6241908000,471352000,5106605000,1336345000,192592000,1056828000,284297000
152,DOW,37916799000,5176000000,65.84,0.712,26.5,2.8,0.0519,0.82,8564000000,0.82,-0.588,-0.104,65.84,1.309,2023-12-31,2292000000,44622000000,42330000000,479000000,3418000000,1453000000,589000000,57967000000,39360000000,179000000,18607000000,5196000000,2356000000,660000000,2061000000
153,DHI,48083603000,6285100000,10.44,0.572,69.7,1.05,0.0083,13.88,8912500000,13.88,0.022,0.065,10.44,1.645,2023-09-30,9350400000,35460400000,26110000000,5961900000,3388500000,6468700000,4745700000,32582400000,9444500000,None,22696200000,4304100000,148600000,4795200000,341200000
154,DTE,21555757000,3382000000,15.45,1.748,53.55,3.878,0.0391,6.76,3668000000,6.76,0.539,-0.242,15.45,0.646,2023-12-31,-1365000000,12745000000,1043000000,2243000000,1034000000,2357000000,1397000000,44755000000,33705000000,3425000000,11050000000,3220000000,3934000000,1397000000,752000000
155,DUK,71406428000,12356000000,17.14,2.328,61.15,4.06,0.0447,5.35,13112000000,5.35,-0.124,0.104,17.14,0.476,2022-12-31,18558000000,26329000000,7771000000,6012000000,2823000000,5289000000,2550000000,178086000000,128764000000,8259000000,49322000000,5927000000,11367000000,2455000000,3179000000
156,DD,29109846000,2855000000,62.09,1.638,56.45,1.44,0.0225,1.09,4615000000,1.09,-0.039,-0.066,62.09,1.199,2022-12-31,2558000000,13171000000,10613000000,4927000000,-2349000000,4927000000,5868000000,41355000000,14338000000,300000000,26569000000,588000000,743000000,5917000000,652000000
157,EMN,9734729000,1544000000,10.99,0.959,45.16,3.18,0.0393,7.49,2176000000,7.49,310.9,-0.07,10.99,1.542,2022-12-31,2137000000,10580000000,8443000000,603000000,1534000000,983000000,793000000,14667000000,9431000000,1126000000,5153000000,975000000,624000000,796000000,381000000
158,ETN,110989427000,4811666000,34.62,2.635,47.64,3.44,0.0124,8.03,6887000000,8.03,0.305,0.108,34.62,1.043,2022-12-31,6697000000,20562000000,13865000000,2359000000,4314000000,2908000000,2462000000,35014000000,17976000000,334000000,17038000000,2533000000,598000000,2465000000,1299000000
159,EBAY,22021169000,2683000000,8.52,2.221,11.34,0.97,0.0236,4.98,7115000000,4.98,-0.62,0.05,8.52,1.298,2022-12-31,7115000000,9795000000,2680000000,2350000000,4765000000,-1361000000,-1269000000,20850000000,15697000000,1150000000,5153000000,2254000000,449000000,-1269000000,489000000
160,ECL,57852031000,2994100000,46.93,2.234,23.46,2.12,0.0112,4.32,5426700000,4.32,0.065,0.178,46.93,1.085,2022-12-31,1638300000,14402400000,12764100000,1562500000,4161200000,1562500000,1108900000,21464300000,14205700000,505100000,7236100000,1788400000,712800000,1108900000,602800000
161,EIX,24824547000,5836000000,20.16,1.973,35.7,2.95,0.0482,3.21,9414000000,3.21,0.46,-0.101,20.16,0.978,2022-12-31,17178000000,17220000000,42000000,1483000000,-81000000,1483000000,824000000,78041000000,60519000000,4629000000,15621000000,3216000000,5778000000,824000000,1259000000
162,EW,52037681000,1696867000,36.33,5.2,10.99,None,None,2.34,4303600000,2.34,-0.062,0.138,36.33,1.035,2022-12-31,4302000000,5362000000,2707700000,1748500000,2589400000,1748500000,1521900000,8292500000,2485800000,None,5806700000,1218200000,264800000,1521900000,None
163,EA,37592084000,1933000000,35.42,1.371,28.09,0.76,0.0054,3.97,5754000000,3.97,0.466,0.034,35.42,0.775,2023-03-31,5634000000,7426000000,1792000000,1332000000,4302000000,1384000000,802000000,13459000000,6166000000,None,7293000000,1550000000,207000000,802000000,210000000
164,ELV,118908051000,11420000000,20.08,0.846,166.69,5.92,0.0129,25.2,40112000000,25.2,-0.077,0.068,20.08,0.785,2022-12-31,-108727000000,156595000000,265322000000,8452000000,19313000000,8626000000,6025000000,102755000000,66425000000,1765000000,36243000000,8399000000,1152000000,6019000000,1229000000
165,LLY,702639047000,11844866000,133.36,1.779,12.48,4.52,0.007,5.55,21911600000,5.55,0.131,0.281,133.36,0.316,2022-12-31,15019800000,28541400000,13521600000,564300000,14455500000,7138000000,6244800000,49489800000,38840000000,1501100000,10649800000,7084400000,1854300000,6244800000,3535800000
166,EMR,58999435000,4309000000,30.26,2.304,36.16,2.085,0.0203,3.41,7427000000,3.41,-0.937,0.221,30.26,1.337,2023-09-30,7427000000,15115000000,12829000000,1882000000,5545000000,1882000000,13219000000,42746000000,22057000000,547000000,20689000000,637000000,363000000,13200000000,1198000000
167,ENPH,16723402000,536133000,39.89,2.41,7.23,None,None,3.07,974595000,3.07,-0.858,-0.582,39.89,1.468,2023-12-31,1058388000,2290786000,1232398000,445741000,612647000,521978000,438936000,3383012000,2399388000,None,983624000,696780000,110401000,438936000,None
168,ETR,20713779000,4904553000,14.11,1.605,64.74,4.28,0.0461,6.94,5278351000,6.94,0.146,-0.148,14.11,0.708,2022-12-31,9457789000,12477921000,3020132000,2050775000,2646053000,1976425000,1103166000,58595191000,45628206000,3136658000,12966985000,2585490000,106193000,1097138000,859996000
169,EOG,65930945000,13564000000,8.24,2.606,47.61,3.3,0.0328,13.48,20132000000,13.48,-0.284,-0.196,8.24,1.402,2022-12-31,24671000000,25702000000,1031000000,9966000000,1116000000,10080000000,7759000000,41371000000,16592000000,1316000000,24779000000,11093000000,5000000000,7759000000,5148000000
170,EPAM,16569851000,696832000,35.69,1.33,57.19,None,None,8.02,1560315000,8.02,-0.373,-0.061,35.69,1.457,2022-12-31,1454378000,4741061000,3286683000,572966000,1001062000,572966000,419416000,4009151000,1006141000,2861000,3001532000,464104000,81629000,419416000,None
171,EQT,14293776000,5727995000,4.703,0.587,34.53,0.6,0.0184,7.3,9722660000,7.3,-0.882,-0.73,4.703,1.129,2022-12-31,4694915000,7497689000,2802774000,2717997000,711184000,2574340000,1770965000,22669926000,11456598000,422632000,11172474000,3465560000,1400443000,1780942000,203629000
172,EFX,31078975000,1553400000,56.5,1.444,36.77,1.56,0.0063,4.41,2945000000,4.41,0.205,0.107,56.5,1.505,2022-12-31,871200000,4937400000,4066200000,1056000000,1897500000,1108700000,696200000,11547900000,7574600000,967200000,3956500000,757100000,624500000,700200000,194200000
173,EQIX,80341656000,2769468000,91.82,3.827,126.61,13.33,0.0199,9.32,2971686000,9.32,0.274,0.165,91.82,0.587,2022-12-31,3528139000,7279640000,3751501000,1200528000,2690749000,1185474000,704345000,30310742000,18804910000,161267000,11505966000,2963182000,2278004000,704577000,1151459000
174,EQR,22454030000,1760607000,26.75,2.804,29.13,2.65,0.045,2.2,1752599000,2.2,0.957,0.04,26.75,0.857,2022-12-31,2199831000,2754656000,554825000,1116046000,71160000,1116046000,776911000,20218262000,8517310000,130000000,11173439000,1454756000,222391000,806995000,952507000
175,ESS,15242405000,1082128000,36.36,3.013,84.46,9.24,0.0402,6.32,1122739000,6.32,-0.644,0.035,36.36,0.818,2022-12-31,725054000,1606814000,881760000,595229000,598028000,595229000,408315000,12372905000,6450639000,None,5716372000,975649000,49583000,432985000,565924000
176,EL,50462274000,1818000000,111.12,7.52,15.94,2.64,0.0184,1.29,13432000000,1.29,-0.202,-0.074,111.12,1.067,2023-06-30,11346000000,15699000000,15157000000,1509000000,9837000000,1509000000,1010000000,23415000000,17830000000,997000000,5585000000,1731000000,3289000000,1010000000,925000000
177,ETSY,9350964000,428432000,31.62,6.91,-5.2,None,None,2.47,1821519000,2.47,-0.122,0.07,31.62,2.054,2022-12-31,1821519000,2566111000,744592000,-658560000,2480079000,-647820000,-694288000,2634961000,3182235000,4731000,-547274000,683612000,30743000,-694278000,None
178,EG,15384492000,None,5.88,-50,304.19,6.8,0.0198,60.17,852900000,60.17,0.466,0.136,5.88,0.571,2022-12-31,-6668000000,12060000000,18728000000,-9980000000,3210000000,643000000,597000000,39966000000,31526000000,None,8441000000,3695000000,None,597000000,255000000
179,EVRG,11274707000,2276900000,16.58,2.633,42.44,2.45,0.0529,2.96,2634100000,2.96,-0.178,-0.126,16.58,0.564,2022-12-31,4468500000,5859100000,1390600000,1267200000,1406700000,1204200000,752700000,29489900000,20006200000,1777100000,9483700000,1801900000,2166500000,765000000,534800000
180,ES,19205943000,3785936000,16.46,1.87,44.91,2.663,0.052,3.34,5409934000,3.34,-0.03,-0.132,16.46,0.58,2022-12-31,10672817000,12289300000,1616483000,2198200000,10091182000,2544248000,1412400000,53230900000,37757742000,1323929000,15473158000,2401293000,3441852000,1412394000,867552000
181,EXC,33685588000,6947000000,15.74,2.414,25.59,1.418,0.0426,2.15,8114000000,2.15,0.029,0.234,15.74,0.604,2022-12-31,13552000000,19078000000,5526000000,3315000000,15761000000,3315000000,2170000000,95349000000,70605000000,4388000000,24744000000,4870000000,7147000000,2171000000,1334000000
182,EXPE,22142120000,1632000000,24.69,0.268,11.19,None,None,5.31,10010000000,5.31,-0.165,0.103,24.69,1.904,2023-12-31,3727000000,12534000000,8807000000,1033000000,7209000000,1372000000,797000000,21642000000,20108000000,None,1534000000,2690000000,846000000,688000000,None
183,EXPD,18516742000,1126537000,23.85,1.57,17.12,1.36,0.0108,5.34,2275468000,5.34,-0.543,-0.498,23.85,1.018,2022-12-31,2179282000,17046391000,14867109000,1824371000,567341000,1855962000,1357399000,5590434000,2480413000,None,3110021000,2129675000,86824000,1360605000,215744000
184,EXR,31347171000,1596163000,27.0,14.78,68.81,6.36,0.0452,5.31,1515898000,5.31,-0.416,0.496,27.0,0.755,2022-12-31,1488828000,1924170000,435342000,1050402000,456132000,1050402000,860688000,12167458000,8089184000,None,3259597000,1238139000,1376342000,921156000,863104000
185,XOM,412864578000,67888001000,11.45,1.689,51.57,3.68,0.0373,8.89,133715000000,8.89,-0.381,-0.131,11.45,0.96,2022-12-31,402359000000,413680000000,11321000000,390705000000,11654000000,76714000000,55740000000,369067000000,166594000000,634000000,195049000000,76797000000,18407000000,57577000000,15206000000
186,FFIV,10973825000,725488000,24.33,1.721,48.66,None,None,7.67,2219861000,7.67,0.933,-0.011,24.33,1.114,2023-09-30,2219861000,2827869000,1832871000,472568000,1747293000,472568000,394948000,5248333000,2888238000,None,2800232000,653409000,54184000,394948000,None
187,FDS,18189683000,779315000,38.61,2.529,44.69,3.83,0.0082,12.37,1112283000,12.37,0.091,0.074,38.61,0.753,2023-08-31,475624000,2019225000,1543601000,629207000,837776000,629207000,468173000,3962922000,2342992000,None,1619930000,645573000,60786000,468173000,138601000
188,FICO,32899459000,666532000,74.08,2.804,-29.17,None,None,17.87,1202504000,17.87,0.25,0.108,74.08,1.232,2023-09-30,1106181000,1417234000,311053000,642830000,570696000,649170000,429375000,1575281000,2263271000,50000000,-687990000,468915000,4237000,429375000,407000000
